0: 1 2 3
1: 0 48 49
2: 0 51 53
3: 0 50 52
4: 12 14 17
5: 12 15 16
6: 13 19 20
7: 13 18 21
8: 14 18 22
9: 17 21 23
10: 16 20 23
11: 15 19 22
12: 4 5 24
13: 6 7 33
14: 4 8 25
15: 5 11 26
16: 5 10 28
17: 4 9 27
18: 7 8 32
19: 6 11 31
20: 6 10 30
21: 7 9 29
22: 8 11 35
23: 9 10 34
24: 12 36 37
25: 14 39 43
26: 15 39 41
27: 17 38 40
28: 16 38 42
29: 21 43 45
30: 20 41 45
31: 19 42 44
32: 18 40 44
33: 13 46 47
34: 23 37 47
35: 22 36 46
36: 24 35 52
37: 24 34 53
38: 27 28 53
39: 25 26 52
40: 27 32 48
41: 26 30 49
42: 28 31 49
43: 25 29 48
44: 31 32 51
45: 29 30 50
46: 33 35 51
47: 33 34 50
48: 1 40 43
49: 1 41 42
50: 3 45 47
51: 2 44 46
52: 3 36 39
53: 2 37 38
